epoch; counter; processing time; losses discriminator; losses generator;
1; 14; 7.1; 0.394; 2.674; 
1; 15; 7.2; 0.383; 2.91; 
1; 16; 7.3; 0.375; 3.129; 
1; 17; 7.4; 0.369; 3.32; 
1; 18; 7.5; 0.365; 3.479; 
1; 19; 7.5; 0.36; 3.619; 
1; 20; 7.6; 0.358; 3.694; 
1; 21; 15.8; 0.356; 3.691; 
1; 22; 6.9; 0.356; 3.654; 
1; 23; 7.2; 0.355; 3.569; 
1; 24; 7.2; 0.36; 3.273; 
1; 25; 7.4; 0.362; 3.075; 
1; 26; 7.4; 0.372; 2.76; 
1; 27; 7.5; 0.383; 2.47; 
1; 28; 7.5; 0.408; 2.066; 
1; 29; 7.7; 0.42; 1.891; 
1; 30; 7.6; 0.441; 1.686; 
1; 31; 7.6; 0.462; 1.497; 
1; 32; 7.6; 0.491; 1.304; 
1; 33; 8.8; 0.502; 1.242; 
1; 34; 7.7; 0.515; 1.165; 
1; 35; 7.4; 0.524; 1.106; 
1; 36; 7.3; 0.539; 1.027; 
1; 37; 7.2; 0.56; 0.933; 
1; 38; 7.1; 0.579; 0.861; 
1; 39; 7.2; 0.606; 0.776; 
1; 40; 7.9; 0.631; 0.707; 
1; 41; 7.6; 0.651; 0.651; 
1; 42; 7.6; 0.669; 0.614; 
1; 43; 7.3; 0.688; 0.579; 
1; 44; 7.3; 0.699; 0.555; 
1; 45; 7.5; 0.709; 0.541; 
1; 46; 7.5; 0.718; 0.537; 
1; 47; 7.5; 0.721; 0.532; 
1; 48; 7.3; 0.724; 0.535; 
1; 49; 7.3; 0.725; 0.539; 
1; 50; 7.6; 0.726; 0.545; 
1; 51; 7.4; 0.722; 0.556; 
1; 52; 7.2; 0.72; 0.563; 
1; 53; 7.3; 0.718; 0.572; 
1; 54; 7.2; 0.714; 0.58; 
1; 55; 7.2; 0.717; 0.587; 
1; 56; 7.2; 0.712; 0.596; 
1; 57; 7.1; 0.709; 0.601; 
1; 58; 7.1; 0.704; 0.61; 
1; 59; 7.2; 0.702; 0.616; 
1; 60; 7.2; 0.701; 0.622; 
1; 61; 7.2; 0.7; 0.626; 
1; 62; 7.2; 0.698; 0.633; 
1; 63; 7.1; 0.697; 0.639; 
1; 64; 7.1; 0.694; 0.645; 
1; 65; 7.1; 0.692; 0.651; 
1; 66; 7.2; 0.692; 0.655; 
1; 67; 7.2; 0.691; 0.659; 
1; 68; 7.1; 0.689; 0.663; 
1; 69; 7.2; 0.688; 0.668; 
1; 70; 7.3; 0.686; 0.672; 
1; 71; 7.1; 0.686; 0.675; 
1; 72; 7.1; 0.684; 0.68; 
1; 73; 7.1; 0.683; 0.684; 
1; 74; 7.1; 0.682; 0.688; 
1; 75; 7.3; 0.681; 0.692; 
1; 76; 7.1; 0.68; 0.695; 
1; 77; 7.2; 0.678; 0.699; 
1; 78; 7.2; 0.678; 0.702; 
1; 79; 7.2; 0.676; 0.704; 
1; 80; 7.2; 0.674; 0.706; 
1; 81; 7.1; 0.672; 0.709; 
1; 82; 7.1; 0.669; 0.713; 
1; 83; 7.3; 0.669; 0.714; 
1; 84; 7.1; 0.669; 0.717; 
1; 85; 7.2; 0.665; 0.72; 
1; 86; 7.3; 0.662; 0.722; 
1; 87; 7.3; 0.657; 0.725; 
1; 88; 7.1; 0.659; 0.73; 
1; 89; 7.1; 0.651; 0.735; 
1; 90; 7.3; 0.649; 0.739; 
1; 91; 7.2; 0.644; 0.745; 
1; 92; 7.1; 0.64; 0.753; 
1; 93; 7.2; 0.635; 0.759; 
1; 94; 7.1; 0.635; 0.763; 
1; 95; 7.2; 0.629; 0.766; 
1; 96; 7.2; 0.628; 0.768; 
1; 97; 7.7; 0.616; 0.775; 
1; 98; 7.9; 0.612; 0.784; 
1; 99; 7.4; 0.609; 0.792; 
1; 100; 7.4; 0.6; 0.796; 
1; 101; 8.7; 0.595; 0.805; 
1; 102; 7.9; 0.583; 0.818; 
1; 103; 7.8; 0.597; 0.821; 
1; 104; 8.4; 0.577; 0.823; 
1; 105; 8.2; 0.559; 0.84; 
1; 106; 10.1; 0.566; 0.854; 
1; 107; 9.4; 0.538; 0.871; 
1; 108; 7.7; 0.531; 0.884; 
1; 109; 7.4; 0.551; 0.882; 
1; 110; 7.3; 0.52; 0.883; 
1; 111; 7.1; 0.497; 0.911; 
1; 112; 7.1; 0.496; 0.944; 
1; 113; 7.1; 0.468; 0.975; 
1; 114; 7.1; 0.451; 1.004; 
1; 115; 7.1; 0.433; 1.03; 
1; 116; 7.2; 0.413; 1.055; 
1; 117; 7.4; 0.405; 1.075; 
1; 118; 7.2; 0.398; 1.092; 
1; 119; 7.1; 0.375; 1.125; 
1; 120; 7.3; 0.357; 1.175; 
1; 121; 7.2; 0.336; 1.237; 
1; 122; 7.1; 0.314; 1.3; 
1; 123; 7.2; 0.296; 1.358; 
1; 124; 7.1; 0.258; 1.429; 
1; 125; 7.1; 0.287; 1.452; 
1; 126; 7.2; 0.222; 1.502; 
1; 127; 7.1; 0.238; 1.556; 
1; 128; 7.1; 0.201; 1.648; 
2; 1; 7.2; 0.172; 1.778; 
2; 2; 7.2; 0.156; 1.905; 
2; 3; 8.4; 0.194; 1.954; 
2; 4; 8.7; 0.126; 1.997; 
2; 5; 8.1; 0.117; 2.058; 
2; 6; 7.3; 0.119; 2.146; 
2; 7; 7.5; 0.093; 2.294; 
2; 8; 7.2; 0.092; 2.454; 
2; 9; 7.1; 0.076; 2.586; 
2; 10; 7.2; 0.072; 2.718; 
2; 11; 7.3; 0.069; 2.784; 
2; 12; 7.3; 0.049; 2.874; 
2; 13; 7.6; 0.055; 2.938; 
2; 14; 7.2; 0.039; 3.034; 
2; 15; 7.2; 0.037; 3.163; 
2; 16; 7.3; 0.032; 3.268; 
2; 17; 7.3; 0.031; 3.443; 
2; 18; 7.3; 0.023; 3.591; 
2; 19; 7.1; 0.039; 3.58; 
2; 20; 7.1; 0.025; 3.63; 
2; 21; 7.1; 0.039; 3.375; 
2; 22; 7.1; 0.025; 3.314; 
2; 23; 7.2; 0.035; 3.132; 
2; 24; 7.2; 0.062; 2.836; 
2; 25; 7.1; 0.201; 2.046; 
2; 26; 7.1; 0.732; 1.162; 
2; 27; 7.1; 2.776; 0.058; 
2; 28; 7.2; 5.91; 0.0; 
2; 29; 7.2; 8.19; 0.0; 
2; 30; 7.1; 8.191; 0.0; 
2; 31; 7.1; 8.412; 0.0; 
2; 32; 7.0; 8.419; 0.0; 
2; 33; 7.1; 7.874; 0.0; 
2; 34; 7.2; 7.755; 0.0; 
2; 35; 7.1; 7.701; 0.0; 
2; 36; 7.0; 7.685; 0.0; 
2; 37; 7.1; 7.692; 0.0; 
2; 38; 7.0; 7.678; 0.0; 
2; 39; 7.1; 7.679; 0.0; 
2; 40; 7.6; 7.673; 0.0; 
2; 41; 9.2; 7.675; 0.0; 
2; 42; 9.2; 7.672; 0.0; 
2; 43; 7.0; 7.671; 0.0; 
2; 44; 7.1; 7.672; 0.0; 
2; 45; 7.1; 7.673; 0.0; 
2; 46; 7.0; 7.67; 0.0; 
2; 47; 7.1; 7.671; 0.0; 
2; 48; 7.1; 7.67; 0.0; 
2; 49; 7.1; 7.67; 0.0; 
2; 50; 7.2; 7.669; 0.0; 
2; 51; 7.6; 7.669; 0.0; 
2; 52; 7.5; 7.669; 0.0; 
2; 53; 7.2; 7.669; 0.0; 
2; 54; 7.3; 7.669; 0.0; 
2; 55; 7.4; 7.669; 0.0; 
2; 56; 7.4; 7.669; 0.0; 
2; 57; 7.3; 7.669; 0.0; 
2; 58; 7.2; 7.669; 0.0; 
2; 59; 7.2; 7.669; 0.0; 
2; 60; 7.4; 7.669; 0.0; 
2; 61; 7.0; 7.669; 0.0; 
2; 62; 7.0; 7.668; 0.0; 
2; 63; 7.1; 7.669; 0.0; 
2; 64; 7.1; 7.669; 0.0; 
2; 65; 7.1; 7.668; 0.0; 
2; 66; 7.0; 7.668; 0.0; 
2; 67; 7.0; 7.668; 0.0; 
2; 68; 7.1; 7.669; 0.0; 
2; 69; 7.0; 7.668; 0.0; 
2; 70; 7.2; 7.669; 0.0; 
2; 71; 7.1; 7.669; 0.0; 
2; 72; 7.1; 7.668; 0.0; 
2; 73; 7.3; 7.668; 0.0; 
2; 74; 7.0; 7.668; 0.0; 
2; 75; 7.1; 7.668; 0.0; 
2; 76; 7.2; 7.668; 0.0; 
2; 77; 7.0; 7.668; 0.0; 
2; 78; 7.0; 7.668; 0.0; 
2; 79; 7.0; 7.668; 0.0; 
2; 80; 7.1; 7.668; 0.0; 
2; 81; 7.8; 7.668; 0.0; 
2; 82; 7.6; 7.668; 0.0; 
2; 83; 7.0; 7.668; 0.0; 
2; 84; 7.2; 7.669; 0.0; 
2; 85; 7.0; 7.668; 0.0; 
2; 86; 7.0; 7.668; 0.0; 
2; 87; 7.0; 7.668; 0.0; 
2; 88; 7.0; 7.668; 0.0; 
2; 89; 7.1; 7.668; 0.0; 
2; 90; 7.2; 7.668; 0.0; 
2; 91; 7.0; 7.668; 0.0; 
2; 92; 7.0; 7.668; 0.0; 
2; 93; 7.1; 7.668; 0.0; 
2; 94; 7.0; 7.668; 0.0; 
2; 95; 7.0; 7.668; 0.0; 
2; 96; 7.0; 7.668; 0.0; 
2; 97; 7.0; 7.668; 0.0; 
2; 98; 7.6; 7.668; 0.0; 
2; 99; 7.2; 7.668; 0.0; 
2; 100; 7.1; 7.668; 0.0; 
2; 101; 7.2; 7.668; 0.0; 
2; 102; 7.0; 7.668; 0.0; 
2; 103; 7.0; 7.669; 0.0; 
2; 104; 7.0; 7.668; 0.0; 
2; 105; 7.1; 7.668; 0.0; 
2; 106; 7.1; 7.669; 0.0; 
2; 107; 7.0; 7.668; 0.0; 
2; 108; 7.0; 7.668; 0.0; 
2; 109; 7.1; 7.669; 0.0; 
2; 110; 7.1; 7.668; 0.0; 
2; 111; 7.0; 7.668; 0.0; 
2; 112; 7.0; 7.668; 0.0; 
2; 113; 7.0; 7.668; 0.0; 
2; 114; 7.0; 7.668; 0.0; 
2; 115; 7.1; 7.668; 0.0; 
2; 116; 7.0; 7.668; 0.0; 
2; 117; 7.7; 7.668; 0.0; 
2; 118; 7.2; 7.668; 0.0; 
2; 119; 7.0; 7.668; 0.0; 
2; 120; 7.1; 7.668; 0.0; 
2; 121; 7.1; 7.668; 0.0; 
2; 122; 7.0; 7.668; 0.0; 
2; 123; 7.0; 7.668; 0.0; 
2; 124; 7.0; 7.668; 0.0; 
2; 125; 7.0; 7.668; 0.0; 
2; 126; 7.3; 7.668; 0.0; 
2; 127; 7.1; 7.668; 0.0; 
2; 128; 7.0; 7.668; 0.0; 
3; 1; 7.0; 7.668; 0.0; 
3; 2; 7.0; 7.668; 0.0; 
3; 3; 7.0; 7.669; 0.0; 
3; 4; 7.1; 7.668; 0.0; 
