epoch; counter; processing time; losses discriminator; losses generator;
5; 8; 7.0; 7.667; 0.0; 
5; 9; 7.0; 7.667; 0.0; 
5; 10; 7.1; 7.667; 0.0; 
5; 11; 7.0; 7.667; 0.0; 
5; 12; 7.1; 7.667; 0.0; 
5; 13; 7.0; 7.667; 0.0; 
5; 14; 7.0; 7.667; 0.0; 
5; 15; 7.1; 7.667; 0.0; 
5; 16; 7.0; 7.667; 0.0; 
5; 17; 7.0; 7.667; 0.0; 
5; 18; 7.1; 7.667; 0.0; 
5; 19; 7.2; 7.667; 0.0; 
5; 20; 7.1; 7.667; 0.0; 
5; 21; 7.1; 7.667; 0.0; 
5; 22; 7.2; 7.667; 0.0; 
5; 23; 7.0; 7.667; 0.0; 
5; 24; 7.0; 7.667; 0.0; 
5; 25; 7.0; 7.667; 0.0; 
5; 26; 7.0; 7.667; 0.0; 
5; 27; 7.0; 7.667; 0.0; 
5; 28; 7.0; 7.667; 0.0; 
5; 29; 7.0; 7.667; 0.0; 
5; 30; 7.1; 7.667; 0.0; 
5; 31; 7.1; 7.667; 0.0; 
5; 32; 7.0; 7.667; 0.0; 
5; 33; 6.9; 7.667; 0.0; 
5; 34; 7.0; 7.667; 0.0; 
5; 35; 7.1; 7.667; 0.0; 
5; 36; 7.1; 7.667; 0.0; 
5; 37; 7.0; 7.667; 0.0; 
5; 38; 7.1; 7.667; 0.0; 
5; 39; 7.0; 7.667; 0.0; 
5; 40; 7.1; 7.667; 0.0; 
5; 41; 7.1; 7.667; 0.0; 
5; 42; 7.0; 7.667; 0.0; 
5; 43; 7.5; 7.667; 0.0; 
5; 44; 7.0; 7.667; 0.0; 
5; 45; 7.0; 7.667; 0.0; 
5; 46; 7.0; 7.667; 0.0; 
5; 47; 7.0; 7.667; 0.0; 
5; 48; 7.0; 7.667; 0.0; 
5; 49; 7.0; 7.667; 0.0; 
5; 50; 7.2; 7.667; 0.0; 
5; 51; 7.0; 7.667; 0.0; 
5; 52; 7.2; 7.667; 0.0; 
5; 53; 7.1; 7.667; 0.0; 
5; 54; 7.0; 7.667; 0.0; 
5; 55; 7.0; 7.667; 0.0; 
5; 56; 7.0; 7.667; 0.0; 
5; 57; 7.1; 7.667; 0.0; 
5; 58; 7.0; 7.667; 0.0; 
5; 59; 7.0; 7.667; 0.0; 
5; 60; 7.1; 7.667; 0.0; 
5; 61; 7.3; 7.667; 0.0; 
5; 62; 7.3; 7.667; 0.0; 
5; 63; 7.1; 7.667; 0.0; 
5; 64; 7.0; 7.667; 0.0; 
5; 65; 7.1; 7.667; 0.0; 
5; 66; 7.0; 7.667; 0.0; 
5; 67; 7.0; 7.667; 0.0; 
5; 68; 7.0; 7.667; 0.0; 
5; 69; 7.1; 7.667; 0.0; 
5; 70; 7.1; 7.667; 0.0; 
5; 71; 7.1; 7.667; 0.0; 
5; 72; 7.0; 7.667; 0.0; 
5; 73; 7.1; 7.667; 0.0; 
5; 74; 7.0; 7.667; 0.0; 
5; 75; 7.0; 7.667; 0.0; 
5; 76; 7.1; 7.667; 0.0; 
5; 77; 7.0; 7.667; 0.0; 
5; 78; 7.1; 7.667; 0.0; 
5; 79; 7.0; 7.667; 0.0; 
5; 80; 7.1; 7.667; 0.0; 
5; 81; 7.1; 7.667; 0.0; 
5; 82; 7.0; 7.667; 0.0; 
5; 83; 7.0; 7.667; 0.0; 
5; 84; 7.1; 7.667; 0.0; 
5; 85; 7.0; 7.667; 0.0; 
5; 86; 7.1; 7.667; 0.0; 
5; 87; 7.0; 7.667; 0.0; 
5; 88; 7.0; 7.667; 0.0; 
5; 89; 7.1; 7.667; 0.0; 
5; 90; 7.1; 7.667; 0.0; 
5; 91; 7.1; 7.667; 0.0; 
5; 92; 7.0; 7.667; 0.0; 
5; 93; 7.1; 7.667; 0.0; 
5; 94; 7.0; 7.667; 0.0; 
5; 95; 7.1; 7.667; 0.0; 
5; 96; 7.0; 7.667; 0.0; 
5; 97; 7.0; 7.667; 0.0; 
5; 98; 7.0; 7.667; 0.0; 
5; 99; 7.0; 7.667; 0.0; 
5; 100; 7.1; 7.667; 0.0; 
5; 101; 7.1; 7.667; 0.0; 
5; 102; 7.1; 7.667; 0.0; 
5; 103; 7.1; 7.667; 0.0; 
5; 104; 7.0; 7.667; 0.0; 
5; 105; 7.0; 7.667; 0.0; 
5; 106; 7.1; 7.667; 0.0; 
5; 107; 7.1; 7.667; 0.0; 
5; 108; 7.1; 7.667; 0.0; 
5; 109; 7.0; 7.667; 0.0; 
5; 110; 7.1; 7.667; 0.0; 
5; 111; 7.1; 7.667; 0.0; 
5; 112; 7.0; 7.667; 0.0; 
5; 113; 7.0; 7.667; 0.0; 
5; 114; 7.0; 7.667; 0.0; 
5; 115; 7.0; 7.667; 0.0; 
5; 116; 7.0; 7.667; 0.0; 
5; 117; 7.0; 7.667; 0.0; 
5; 118; 7.1; 7.667; 0.0; 
5; 119; 6.9; 7.667; 0.0; 
5; 120; 7.1; 7.667; 0.0; 
5; 121; 7.0; 7.667; 0.0; 
5; 122; 7.0; 7.667; 0.0; 
5; 123; 7.1; 7.667; 0.0; 
5; 124; 7.0; 7.667; 0.0; 
5; 125; 7.0; 7.667; 0.0; 
5; 126; 6.9; 7.667; 0.0; 
5; 127; 6.9; 7.667; 0.0; 
5; 128; 7.1; 7.667; 0.0; 
6; 1; 7.1; 7.667; 0.0; 
6; 2; 7.0; 7.667; 0.0; 
6; 3; 7.0; 7.667; 0.0; 
6; 4; 7.0; 7.667; 0.0; 
6; 5; 7.1; 7.667; 0.0; 
6; 6; 7.0; 7.667; 0.0; 
6; 7; 7.0; 7.667; 0.0; 
6; 8; 7.1; 7.667; 0.0; 
6; 9; 7.1; 7.667; 0.0; 
6; 10; 7.1; 7.667; 0.0; 
6; 11; 7.1; 7.667; 0.0; 
6; 12; 7.0; 7.667; 0.0; 
6; 13; 7.0; 7.667; 0.0; 
6; 14; 7.0; 7.667; 0.0; 
6; 15; 7.0; 7.667; 0.0; 
6; 16; 7.0; 7.667; 0.0; 
6; 17; 7.0; 7.667; 0.0; 
6; 18; 7.1; 7.667; 0.0; 
6; 19; 7.0; 7.667; 0.0; 
6; 20; 7.1; 7.667; 0.0; 
6; 21; 7.1; 7.667; 0.0; 
6; 22; 7.0; 7.667; 0.0; 
6; 23; 7.0; 7.667; 0.0; 
6; 24; 7.1; 7.667; 0.0; 
6; 25; 7.0; 7.667; 0.0; 
6; 26; 7.1; 7.667; 0.0; 
6; 27; 7.0; 7.667; 0.0; 
6; 28; 7.0; 7.667; 0.0; 
6; 29; 7.0; 7.667; 0.0; 
6; 30; 7.0; 7.667; 0.0; 
6; 31; 7.2; 7.667; 0.0; 
6; 32; 7.0; 7.667; 0.0; 
6; 33; 7.0; 7.667; 0.0; 
6; 34; 7.0; 7.667; 0.0; 
6; 35; 7.1; 7.667; 0.0; 
6; 36; 7.0; 7.667; 0.0; 
6; 37; 7.0; 7.667; 0.0; 
6; 38; 7.1; 7.667; 0.0; 
6; 39; 7.0; 7.667; 0.0; 
6; 40; 7.1; 7.667; 0.0; 
6; 41; 7.1; 7.667; 0.0; 
6; 42; 7.0; 7.667; 0.0; 
6; 43; 7.0; 7.667; 0.0; 
6; 44; 7.0; 7.667; 0.0; 
6; 45; 7.0; 7.667; 0.0; 
6; 46; 7.0; 7.667; 0.0; 
6; 47; 7.0; 7.667; 0.0; 
6; 48; 7.1; 7.667; 0.0; 
6; 49; 7.1; 7.667; 0.0; 
6; 50; 7.2; 7.667; 0.0; 
6; 51; 7.1; 7.667; 0.0; 
6; 52; 7.1; 7.667; 0.0; 
6; 53; 7.0; 7.667; 0.0; 
6; 54; 7.0; 7.667; 0.0; 
6; 55; 7.0; 7.667; 0.0; 
6; 56; 7.0; 7.667; 0.0; 
6; 57; 7.0; 7.667; 0.0; 
6; 58; 7.0; 7.667; 0.0; 
6; 59; 7.0; 7.667; 0.0; 
6; 60; 7.1; 7.667; 0.0; 
6; 61; 7.1; 7.667; 0.0; 
6; 62; 7.0; 7.667; 0.0; 
6; 63; 7.3; 7.667; 0.0; 
6; 64; 7.3; 7.667; 0.0; 
6; 65; 7.2; 7.667; 0.0; 
6; 66; 7.0; 7.667; 0.0; 
6; 67; 6.9; 7.667; 0.0; 
6; 68; 7.1; 7.667; 0.0; 
6; 69; 7.2; 7.667; 0.0; 
6; 70; 7.4; 7.667; 0.0; 
6; 71; 7.0; 7.667; 0.0; 
6; 72; 7.1; 7.667; 0.0; 
6; 73; 7.0; 7.667; 0.0; 
6; 74; 7.0; 7.667; 0.0; 
6; 75; 7.0; 7.667; 0.0; 
6; 76; 7.0; 7.667; 0.0; 
6; 77; 7.1; 7.667; 0.0; 
6; 78; 7.0; 7.667; 0.0; 
6; 79; 7.1; 7.667; 0.0; 
6; 80; 7.2; 7.667; 0.0; 
6; 81; 7.1; 7.667; 0.0; 
6; 82; 7.1; 7.667; 0.0; 
6; 83; 7.0; 7.667; 0.0; 
6; 84; 7.0; 7.667; 0.0; 
6; 85; 7.0; 7.667; 0.0; 
6; 86; 7.1; 7.667; 0.0; 
6; 87; 7.0; 7.667; 0.0; 
6; 88; 7.0; 7.667; 0.0; 
6; 89; 7.1; 7.667; 0.0; 
6; 90; 7.2; 7.667; 0.0; 
6; 91; 7.1; 7.667; 0.0; 
6; 92; 7.0; 7.667; 0.0; 
6; 93; 7.0; 7.667; 0.0; 
6; 94; 7.1; 7.667; 0.0; 
6; 95; 7.0; 7.667; 0.0; 
6; 96; 7.0; 7.667; 0.0; 
6; 97; 7.0; 7.667; 0.0; 
6; 98; 7.0; 7.667; 0.0; 
6; 99; 7.0; 7.667; 0.0; 
6; 100; 7.1; 7.667; 0.0; 
6; 101; 7.1; 7.667; 0.0; 
6; 102; 7.0; 7.667; 0.0; 
6; 103; 7.1; 7.667; 0.0; 
6; 104; 7.0; 7.667; 0.0; 
6; 105; 7.2; 7.667; 0.0; 
6; 106; 7.7; 7.667; 0.0; 
6; 107; 7.4; 7.667; 0.0; 
6; 108; 7.0; 7.667; 0.0; 
6; 109; 7.0; 7.667; 0.0; 
6; 110; 7.1; 7.667; 0.0; 
6; 111; 7.1; 7.667; 0.0; 
6; 112; 7.0; 7.667; 0.0; 
6; 113; 7.1; 7.667; 0.0; 
6; 114; 7.0; 7.667; 0.0; 
6; 115; 7.0; 7.667; 0.0; 
6; 116; 7.2; 7.667; 0.0; 
6; 117; 7.0; 7.667; 0.0; 
6; 118; 7.0; 7.667; 0.0; 
6; 119; 7.0; 7.667; 0.0; 
6; 120; 7.1; 7.667; 0.0; 
6; 121; 7.1; 7.667; 0.0; 
6; 122; 7.0; 7.667; 0.0; 
6; 123; 7.0; 7.667; 0.0; 
6; 124; 7.1; 7.667; 0.0; 
6; 125; 7.0; 7.667; 0.0; 
6; 126; 6.9; 7.667; 0.0; 
6; 127; 7.0; 7.667; 0.0; 
6; 128; 7.0; 7.667; 0.0; 
7; 1; 7.0; 7.667; 0.0; 
7; 2; 7.0; 7.667; 0.0; 
7; 3; 7.0; 7.667; 0.0; 
7; 4; 7.0; 7.667; 0.0; 
7; 5; 7.0; 7.667; 0.0; 
7; 6; 7.1; 7.667; 0.0; 
7; 7; 7.1; 7.667; 0.0; 
7; 8; 7.1; 7.667; 0.0; 
7; 9; 7.1; 7.667; 0.0; 
7; 10; 7.1; 7.667; 0.0; 
7; 11; 7.0; 7.667; 0.0; 
7; 12; 7.0; 7.667; 0.0; 
7; 13; 7.1; 7.667; 0.0; 
7; 14; 7.0; 7.667; 0.0; 
7; 15; 7.0; 7.667; 0.0; 
7; 16; 7.0; 7.667; 0.0; 
7; 17; 7.1; 7.667; 0.0; 
7; 18; 7.1; 7.667; 0.0; 
7; 19; 7.2; 7.667; 0.0; 
7; 20; 7.1; 7.667; 0.0; 
7; 21; 7.1; 7.667; 0.0; 
7; 22; 7.0; 7.667; 0.0; 
7; 23; 7.0; 7.667; 0.0; 
7; 24; 7.1; 7.667; 0.0; 
7; 25; 7.0; 7.667; 0.0; 
7; 26; 7.0; 7.667; 0.0; 
7; 27; 7.2; 7.667; 0.0; 
7; 28; 7.0; 7.667; 0.0; 
7; 29; 7.1; 7.667; 0.0; 
7; 30; 7.1; 7.667; 0.0; 
7; 31; 7.1; 7.667; 0.0; 
7; 32; 7.0; 7.667; 0.0; 
7; 33; 7.0; 7.667; 0.0; 
7; 34; 7.0; 7.667; 0.0; 
7; 35; 7.0; 7.667; 0.0; 
7; 36; 7.0; 7.667; 0.0; 
7; 37; 7.1; 7.667; 0.0; 
7; 38; 7.0; 7.667; 0.0; 
7; 39; 7.0; 7.667; 0.0; 
7; 40; 7.4; 7.667; 0.0; 
7; 41; 7.2; 7.667; 0.0; 
7; 42; 7.0; 7.667; 0.0; 
7; 43; 7.1; 7.667; 0.0; 
7; 44; 7.0; 7.667; 0.0; 
7; 45; 7.0; 7.667; 0.0; 
7; 46; 7.1; 7.667; 0.0; 
7; 47; 7.0; 7.667; 0.0; 
7; 48; 7.0; 7.667; 0.0; 
7; 49; 7.0; 7.667; 0.0; 
7; 50; 7.1; 7.667; 0.0; 
7; 51; 7.3; 7.667; 0.0; 
7; 52; 7.0; 7.667; 0.0; 
7; 53; 7.0; 7.667; 0.0; 
7; 54; 7.1; 7.667; 0.0; 
7; 55; 7.0; 7.667; 0.0; 
7; 56; 7.0; 7.667; 0.0; 
7; 57; 7.0; 7.667; 0.0; 
7; 58; 7.0; 7.667; 0.0; 
7; 59; 7.0; 7.667; 0.0; 
7; 60; 7.2; 7.667; 0.0; 
7; 61; 7.1; 7.667; 0.0; 
7; 62; 7.0; 7.667; 0.0; 
7; 63; 7.1; 7.667; 0.0; 
7; 64; 7.2; 7.667; 0.0; 
7; 65; 7.4; 7.667; 0.0; 
7; 66; 7.2; 7.667; 0.0; 
7; 67; 7.0; 7.667; 0.0; 
7; 68; 7.1; 7.667; 0.0; 
7; 69; 7.0; 7.667; 0.0; 
7; 70; 7.1; 7.667; 0.0; 
7; 71; 7.1; 7.667; 0.0; 
7; 72; 7.0; 7.667; 0.0; 
7; 73; 7.1; 7.667; 0.0; 
7; 74; 7.0; 7.667; 0.0; 
7; 75; 6.9; 7.667; 0.0; 
7; 76; 7.0; 7.667; 0.0; 
7; 77; 7.1; 7.667; 0.0; 
7; 78; 7.0; 7.667; 0.0; 
7; 79; 7.0; 7.667; 0.0; 
7; 80; 7.2; 7.667; 0.0; 
7; 81; 7.1; 7.667; 0.0; 
7; 82; 7.0; 7.667; 0.0; 
7; 83; 7.0; 7.667; 0.0; 
7; 84; 7.0; 7.667; 0.0; 
7; 85; 7.0; 7.667; 0.0; 
7; 86; 7.0; 7.667; 0.0; 
7; 87; 7.0; 7.667; 0.0; 
7; 88; 6.9; 7.667; 0.0; 
7; 89; 7.0; 7.667; 0.0; 
7; 90; 7.1; 7.667; 0.0; 
7; 91; 7.1; 7.667; 0.0; 
7; 92; 7.0; 7.667; 0.0; 
7; 93; 7.0; 7.667; 0.0; 
7; 94; 7.1; 7.667; 0.0; 
7; 95; 7.1; 7.667; 0.0; 
7; 96; 7.1; 7.667; 0.0; 
7; 97; 7.0; 7.667; 0.0; 
7; 98; 7.0; 7.667; 0.0; 
7; 99; 7.0; 7.667; 0.0; 
7; 100; 7.1; 7.667; 0.0; 
7; 101; 7.1; 7.667; 0.0; 
7; 102; 7.0; 7.667; 0.0; 
7; 103; 7.0; 7.667; 0.0; 
7; 104; 7.0; 7.667; 0.0; 
7; 105; 7.0; 7.667; 0.0; 
7; 106; 7.0; 7.667; 0.0; 
7; 107; 7.1; 7.667; 0.0; 
7; 108; 7.0; 7.667; 0.0; 
7; 109; 7.0; 7.667; 0.0; 
7; 110; 7.1; 7.667; 0.0; 
7; 111; 7.1; 7.667; 0.0; 
7; 112; 7.0; 7.667; 0.0; 
7; 113; 7.0; 7.667; 0.0; 
7; 114; 7.0; 7.667; 0.0; 
7; 115; 7.0; 7.667; 0.0; 
7; 116; 7.0; 7.667; 0.0; 
7; 117; 7.1; 7.667; 0.0; 
7; 118; 7.0; 7.667; 0.0; 
7; 119; 7.1; 7.667; 0.0; 
7; 120; 7.1; 7.667; 0.0; 
7; 121; 7.1; 7.667; 0.0; 
7; 122; 7.1; 7.667; 0.0; 
7; 123; 7.1; 7.667; 0.0; 
7; 124; 7.0; 7.667; 0.0; 
7; 125; 7.0; 7.667; 0.0; 
7; 126; 7.1; 7.667; 0.0; 
7; 127; 7.0; 7.667; 0.0; 
7; 128; 7.1; 7.667; 0.0; 
8; 1; 7.1; 7.667; 0.0; 
8; 2; 7.0; 7.667; 0.0; 
8; 3; 7.0; 7.667; 0.0; 
8; 4; 7.0; 7.667; 0.0; 
8; 5; 7.0; 7.667; 0.0; 
8; 6; 7.0; 7.667; 0.0; 
8; 7; 7.0; 7.667; 0.0; 
8; 8; 7.1; 7.667; 0.0; 
8; 9; 7.0; 7.667; 0.0; 
8; 10; 7.1; 7.667; 0.0; 
8; 11; 7.1; 7.667; 0.0; 
8; 12; 7.0; 7.667; 0.0; 
8; 13; 7.0; 7.667; 0.0; 
8; 14; 7.0; 7.667; 0.0; 
8; 15; 7.0; 7.667; 0.0; 
8; 16; 7.0; 7.667; 0.0; 
8; 17; 7.1; 7.667; 0.0; 
8; 18; 6.9; 7.667; 0.0; 
8; 19; 7.0; 7.667; 0.0; 
8; 20; 7.0; 7.667; 0.0; 
8; 21; 7.1; 7.667; 0.0; 
8; 22; 7.0; 7.667; 0.0; 
8; 23; 7.0; 7.667; 0.0; 
8; 24; 7.0; 7.667; 0.0; 
8; 25; 7.1; 7.667; 0.0; 
8; 26; 7.1; 7.667; 0.0; 
8; 27; 7.0; 7.667; 0.0; 
8; 28; 7.0; 7.667; 0.0; 
8; 29; 7.0; 7.667; 0.0; 
8; 30; 7.1; 7.667; 0.0; 
8; 31; 7.1; 7.667; 0.0; 
8; 32; 6.9; 7.667; 0.0; 
8; 33; 7.1; 7.667; 0.0; 
8; 34; 7.1; 7.667; 0.0; 
8; 35; 7.0; 7.667; 0.0; 
8; 36; 7.0; 7.667; 0.0; 
8; 37; 7.2; 7.667; 0.0; 
8; 38; 7.0; 7.667; 0.0; 
8; 39; 7.0; 7.667; 0.0; 
8; 40; 7.1; 7.667; 0.0; 
8; 41; 7.1; 7.667; 0.0; 
8; 42; 7.1; 7.667; 0.0; 
8; 43; 7.0; 7.667; 0.0; 
8; 44; 7.2; 7.667; 0.0; 
8; 45; 7.0; 7.667; 0.0; 
8; 46; 7.0; 7.667; 0.0; 
8; 47; 7.0; 7.667; 0.0; 
8; 48; 7.1; 7.667; 0.0; 
8; 49; 7.0; 7.667; 0.0; 
8; 50; 8.7; 7.667; 0.0; 
8; 51; 8.2; 7.667; 0.0; 
8; 52; 9.2; 7.667; 0.0; 
8; 53; 8.5; 7.667; 0.0; 
8; 54; 7.3; 7.667; 0.0; 
